,property_url,property_id,listing_id,mls,mls_id,status,text,style,full_street_line,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,assessed_value,estimated_value,new_construction,lot_sqft,price_per_sqft,latitude,longitude,neighborhoods,county,fips_code,stories,hoa_fee,parking_garage,nearby_schools,dist_to_cwru_mi,price_per_bed,price_per_sqft_ann,price_per_sqft_per_bed_ann
124,https://www.realtor.com/rentals/details/2320-Superior-Ave-E-Apt-204_Cleveland_OH_44114_M38441-38350,3844138350,2974898494,NEOH,5084559,FOR_RENT,"Welcome to 2320 Loftshome to the largest, most spacious units in Downtown Cleveland. Conveniently located on Superior Avenue, just minutes from I-90, I-77, and Route 2. Inside, youll find 2 expansive bedrooms, a versatile bonus den, and an open-concept kitchen that flows into a welcoming living area. Two bathrooms, high ceilings, and big, beautiful windows create a bright, airy space filled with natural light. An in-suite washer and dryer provide ultimate convenience, while amenities like a package locker system and an on-site fitness center add ease to daily life. Parking options include garage spaces at $95 per month, plus other gated choices. This beautifully restored warehouse brings historic charm with original architectural details, paired with modern conveniences!",APARTMENT,2320 Superior Ave E Apt 305,2320 Superior Ave,Apt 305,Cleveland,OH,44114,2,2,,1285,1911,18,1900,2024-11-12,675000,271600,,False,25679,1,41.508262,-81.675099,"Downtown Cleveland, Campus District, Superior Arts District",Cuyahoga,39035,,,1,"Cleveland Metropolitan School District, Cleveland Entrepreneurship Preparatory School",3.4709369851736276,950.0,17.7431906614786,8.8715953307393
128,https://www.realtor.com/rentals/details/1900-Superior-Ave-E-Ste-227_Cleveland_OH_44114_M41980-08128,4198008128,2974893237,NEOH,5084541,FOR_RENT,"Welcome to Tower Press, a 110-year-old historic gem blending old-world charm with modern conveniences in the heart of Cleveland! This beautifully updated loft offers downtown living without the downtown hassle, featuring easy freeway access and the citys lowest parking rates. Located on the 2nd floor, this 1-bedroom loft is bright and inviting, with large windows that flood the space with natural light, polished concrete floors, and exposed brick walls that add a unique character. The open kitchen is perfect for entertaining or casual meals, featuring granite countertops, solid wood cabinets, a glass mosaic backsplash, and stainless steel appliancesincluding a refrigerator, stove, and dishwasher. The cozy bedroom has new carpeting and is conveniently adjacent to a recently renovated bathroom with a modern vanity, granite counters, and stylish lighting. The building provides a common conference room available by reservation. Additional amenities include landscaped outdoor areas, a fitness center, bike storage, and free visitor parkinga rare perk in downtown Cleveland. This one won't last! Schedule your showing today to experience the best of historic downtown living.",APARTMENT,1900 Superior Ave E Ste 227,1900 Superior Ave,Ste 227,Cleveland,OH,44114,1,1,,720,1907,18,1350,2024-11-12,200000,1863300,,False,51092,2,41.506713,-81.678849,"Downtown Cleveland, Campus District, Superior Arts District",Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Promise Academy, Cleveland Entrepreneurship Preparatory School",3.65852515225042,1350.0,22.5,22.5
129,https://www.realtor.com/rentals/details/2320-Superior-Ave-E-Apt-204_Cleveland_OH_44114_M38441-38350,3844138350,2974899064,NEOH,5084569,FOR_RENT,"Experience elevated downtown living in this stunning 3-bedroom, 2-bath apartment on Superior Avenue, complete with a spacious bonus den. This large loft-style residence is designed to impress with its big, beautiful windows that flood the space with natural sunlight, high ceilings that create an airy, open feel, and sleek stainless steel appliances that complement the modern kitchen. Enjoy the convenience of an in-suite washer and dryer and central air conditioning. Residents also have access to an on-site fitness center, and parking options include garage spaces for just $95 per month, with additional choices available. This luxurious apartment offers the best of style, comfort, and convenienceall in a prime downtown location.",APARTMENT,2320 Superior Ave E Apt 204,2320 Superior Ave,Apt 204,Cleveland,OH,44114,3,2,,1370,1911,18,2200,2024-11-12,675000,271600,,False,25679,2,41.508262,-81.675099,"Downtown Cleveland, Campus District, Superior Arts District",Cuyahoga,39035,,,2,"Cleveland Metropolitan School District, Cleveland Entrepreneurship Preparatory School",3.4709369851736276,733.3333333333334,19.27007299270073,6.423357664233577
131,https://www.realtor.com/rentals/details/3317-W-41st-St-1_Cleveland_OH_44109_M94370-70964,9437070964,2974892355,TRBO,1657473,FOR_RENT,"Welcome to the perfect blend of charm and modern living in this newly renovated apartment, ideally located within walking distance to Ohio City and just a short drive from Downtown Cleveland! Every detail has been thoughtfully upgraded, making this space feel fresh, bright, and inviting. Step inside to brand-new floors and freshly painted walls, giving the space a warm yet contemporary feel. Large, newly installed windows flood the apartment with natural light, creating a welcoming atmosphere and offering views of the vibrant neighborhood. The kitchen boasts all-new, stainless steel appliances, plenty of counter space, and modern cabinetry. This apartment combines the benefits of a brand-new feel with a prime location. With top-notch restaurants, breweries, and boutiques nearby, and easy access to downtown, you'll have Cleveland's best offerings right at your doorstep. Don't miss this opportunity schedule your tour today! To apply, visit TurboTenant and search for Property ID 1657473",CONDOS,3317 W 41st St Unit 1,3317 W 41st St,Unit 1,Cleveland,OH,44109,2,1,,1080,,18,1500,2024-11-12,,,,False,,1,41.463669,-81.712975,Clark - Fulton,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Lincoln Park Academy School District, Frederick Douglass Reclamation Academy, Lincoln Preparatory Academy School District",6.108500966940055,750.0,16.666666666666668,8.333333333333334
133,https://www.realtor.com/rentals/details/1985-W-28th-St-4_Cleveland_OH_44113_M97037-31463,9703731463,2974882006,AVAL,61223472,FOR_RENT,"Ohio City Studio. Office or live/work. One block off Market Ave. and Westside Market. Approx. 400 sq. ft. Studio. Wood floors, full bath, kitchenette, mag-lock remote entry with intercom. Excellent location, low utility costs. No smoking, no pets.",APARTMENT,1985 W 28th St Unit 4TH,1985 W 28th St,Unit 4TH,Cleveland,OH,44113,1,1,,400,,18,700,2024-11-12,,,,False,,2,41.483696,-81.705376,"Ohio City, Market Square",Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Near West Intergenerational School",5.228833061316897,700.0,21.0,21.0
134,https://www.realtor.com/rentals/details/1900-Superior-Ave-E-Ste-227_Cleveland_OH_44114_M41980-08128,4198008128,2974892204,NEOH,5084525,FOR_RENT,"Welcome to Tower Press, Clevelands premier Historic Landmark Building in Downtown! This recently renovated, 2-bedroom, 1-bathroom suite offers a stylish and modern living experience within a beautiful, historic setting. This unique two-story suite features a striking spiral staircase connecting the floors, creating an open and spacious layout. The first floor boasts a large, open-concept kitchen and living area, complete with stainless steel appliances and a chic glass mosaic backsplash. The newly updated bathroom is fitted with all-new fixtures, and the first-floor bedroom, with its gleaming hardwood floors, also makes an ideal work-from-home space or cozy den. Upstairs, a generously sized carpeted bedroom offers a comfortable and private retreat. Enjoy a beautifully landscaped courtyard with a gas grill and fire pit, perfect for relaxing or socializing with friends. Tower Press also provides a well-equipped fitness center, a central laundry facility, basement bike storage, and a Luxer package delivery system for added convenience. Free visitor parking is availablea rare perk in downtown Clevelandand gated tenant parking is just $35 per month. With unbeatable freeway access and proximity to downtown attractions, 1900 Superior Suite #334 is the perfect place to call home. Schedule your showing today and experience this extraordinary space for yourself!",APARTMENT,1900 Superior Ave E Ste 334,1900 Superior Ave,Ste 334,Cleveland,OH,44114,2,1,,1220,1907,18,1850,2024-11-12,200000,1863300,,False,51092,2,41.506713,-81.678849,"Downtown Cleveland, Campus District, Superior Arts District",Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Promise Academy, Cleveland Entrepreneurship Preparatory School",3.65852515225042,925.0,18.19672131147541,9.098360655737705
135,https://www.realtor.com/rentals/details/2003-Forestdale-Ave_Cleveland_OH_44109_M45301-63938,4530163938,2974892345,TRBO,1645728,FOR_RENT,"Be the FIRST to live in this completely renovated 3 bedroom, 2 bath duplex with an indoor laundry set up, located minutes a way from popular downtown Cleveland. EVERY thing has been updated, upgraded, renovated, and refined including granite tops. This unit comes Turn Key complete, with new insulated windows and new vinyl flooring. All stainless steel appliances have been provided for you. Also, take advantage of covered parking which, is being added to the property upon its renovation. The exterior of the complex has been resided with beautifully colored vinyl siding. Literally, the only thing needed is for you to show up, unpack boxes and start enjoying your NEW home! To apply, visit TurboTenant and search for Property ID 1645728",CONDOS,2003 Forestdale Ave,2003 Forestdale Ave,,Cleveland,OH,44109,3,2,,1200,1927,18,1650,2024-11-12,260000,22120,252200,False,,1,41.452667,-81.696301,Brooklyn - Centre,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Horizon Science Academy-Denison Middle School",5.788670694643824,550.0,16.5,5.5
141,https://www.realtor.com/rentals/details/3010-Daisy-Ave-2_Cleveland_OH_44109_M98390-49349,9839049349,2974809089,TRBO,1655570,FOR_RENT,"Welcome home to a beautiful, fresh space! This 2-3 bedroom apartment is newly renovated, modern, and completely updated! Open concept kitchen with stainless steel appliances and butcher block countertops, gorgeous bathroom, and spacious living area. 2 nice bedrooms; plus bonus flex room with washer/dryer hookup that can be used as office space, or even as a legal third bedroom! Private balcony too! The location is amazing, located on a quiet block just down the street of the MetroHealth Main Campus Medical Center! To apply, visit TurboTenant and search for Property ID 1655570",CONDOS,3010 Daisy Ave Unit 2,3010 Daisy Ave,Unit 2,Cleveland,OH,44109,2,1,,1100,,19,1275,2024-11-11,,,,False,,1,41.459225,-81.703506,Clark - Fulton,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Lincoln Preparatory Academy School District",5.834156739424299,637.5,13.909090909090908,6.954545454545454
142,https://www.realtor.com/rentals/details/1493-E-120th-St_Cleveland_OH_44106_M96309-10065,9630910065,2974794775,NEOH,5084111,FOR_RENT,"Residents benefit from proximity to cultural and educational institutions, including Case Western Reserve University, University Hospitals, and the Cleveland Clinic. Discover urban living at its finest in Glenville's newest townhouse community at E. 120th & Ashbury Avenue. This 2021-built, move-in-ready townhome features 3 spacious bedrooms, 2.5 bathrooms, and an expansive open floor plan that seamlessly blends the living, dining, and kitchen areas. Designed for comfort and style, the kitchen boasts a large island, ample counter space, and modern appliancesideal for everyday gatherings or entertaining guests. Upstairs, youll find all three bedrooms, two stylish bathrooms, and a conveniently located laundry room. Whether youre looking to enjoy nearby University Circle, explore the Cleveland Natural History Museum, or catch a concert at the Cleveland Institute of Music, this home places you just minutes from the best of Clevelands vibrant cultural scene. Enjoy all the perks of city living with the added privacy and comfort of Ashbury Pointe. Dont miss your chance to be part of this exceptional community!",SINGLE_FAMILY,1493 E 120th St,1493 E 120th St,,Cleveland,OH,44106,3,2,1,1887,2021,19,2200,2024-11-11,346151,16910,386100,False,1320,1,41.517545,-81.601478,Glenville,Cuyahoga,39035,2,0,2,"Cleveland Metropolitan School District, Old Brook High School School District, Citizens Leadership Academy",0.982058383332022,733.3333333333334,13.990461049284578,4.663487016428193
145,https://www.realtor.com/rentals/details/9918-Sandusky-Ave_Cleveland_OH_44105_M41604-41003,4160441003,2974772057,RENU,r3791658,FOR_RENT,"Welcome Home to 9918 Sandusky AveStep into this beautifully remodeled 5-bedroom, 2-bathroom house, offering 1, 514 square feet of comfortable living space. Perfect for a large family or individuals seeking a cozy and spacious place to call home, this house is ready to welcome you.Key Features:Bedrooms: 5 spacious bedrooms with ample closet space, providing plenty of room for relaxation and personalization.Bathrooms: 2 well-appointed bathrooms with modern fixtures, ensuring convenience and comfort for all residents.Living Space: A cozy living room filled with natural light, perfect for unwinding after a long day.Kitchen: A sleek, modern kitchen featuring stylish cabinets and a butcher block countertop, ideal for your culinary creations.Outdoor Space: A nice backyard with a mini porch, perfect for outdoor dining, gardening, or simply enjoying the fresh air.Parking: Ample street parking is available for your convenience.Convenience: Proximity to shopping, dining, and entertainment options within 10 mins drive.Transportation: Easy access to major roads and public transportation makes your commute a breeze.Additional Information:Lease Terms: Available for a 12-month lease starting September 5, 2024.Utilities: Tenant is responsible for all utilities, including water, sewer, and trash.Maintenance: Tenant is also responsible for yard maintenance, snow removal, and pest control.Important Notice:Please be cautious of rental scams. Do not pay any security deposits or fees without first visiting the property.Don't miss the opportunity to make this beautiful house your new home. Contact us today to schedule a viewing!",SINGLE_FAMILY,9918 Sandusky Ave,9918 Sandusky Ave,,Cleveland,OH,44105,5,2,,1514,,20,2107,2024-11-10,,8050,73300,False,,1,41.457036,-81.615421,Union - Miles Park,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Village Preparatory School:: Woodland Hills Campus School District",3.282047571812667,421.4,16.700132100396303,3.3400264200792598
146,https://www.realtor.com/rentals/details/2150-W-18th-St_Cleveland_OH_44113_M47105-29174,4710529174,2974775121,NEOH,5083997,FOR_RENT,"What an incredible opportunity to rent a lovely, modern, fully renovated single family home in Duck Island! Located directly across the street from Abbey Park, this home was rebuilt from the ground up 8 years ago with high-end and creative custom finishes throughout. The main floor is an attractive open floor plan with a good sized living room, dining room, and large kitchen with polished concrete floors, custom wood cabinets, quartz counters, stainless appliances and a built in pantry. The second floor is made up of 2 good sized secondary bedrooms that share a nicely renovated full bath, a large laundry closet, and the full owners suite. So much larger than it looks from the street! The owners suite includes a bedroom with vaulted ceiling, beautiful full bath with spa shower, dual sinks, custom cabinets and quartz counters, a big storage area and a wall length closet. The home also features an attached 2-car garage and professionally landscaped and maintained lawn. This home is well insulated and built to be energy efficient so utility costs are very low. Less than one mile from Professor Ave in Tremont, W25th in Ohio City and downtown Cleveland, this is the place to live your best city life! Lease length negotiable. Photos shown are from when the home was lightly staged. Home is being rented unfurnished.",SINGLE_FAMILY,2150 W 18th St,2150 W 18th St,,Cleveland,OH,44113,3,2,1,1800,1890,20,3650,2024-11-10,151000,19920,411400,False,2614,2,41.485331,-81.697097,Ohio City,Cuyahoga,39035,2,0,2,"Cleveland Metropolitan School District, Horizon Science Academy Denison Elementary School, Northeast Ohio College Preparatory School",4.784717584743437,1216.6666666666667,24.333333333333332,8.11111111111111
147,https://www.realtor.com/rentals/details/2797-Avondale-Ave_Cleveland_OH_44118_M35159-40865,3515940865,2974829518,NEOH,5084117,FOR_RENT,Spacious 2 bedroom 1 bath unit for rent. Fresh paint and hardwood floors throughout. Refrigerator and stove included. Located minutes from shopping and eating.,MULTI_FAMILY,2797 Avondale Ave Unit Up,2797 Avondale Ave,Unit Up,Cleveland Heights,OH,44118,2,1,,2879,1920,18,1200,2024-11-12,209000,62300,232500,False,5227,0,41.515324,-81.580116,,Cuyahoga,39035,,0,2,"Citizens Leadership Academy East, Cleveland Heights-University Heights City, Old Brook High School School District",1.6527273055141847,600.0,5.001736714136853,2.5008683570684265
150,https://www.realtor.com/rentals/details/1884-E-81st-St-Apt-4_Cleveland_OH_44103_M44488-84472,4448884472,2974736430,NEOH,5083886,FOR_RENT,"Newly remodeled 1 Bedroom, 1 Bath 2nd floor unit in 4-unit building. All newer kitchen, full bath and laminate flooring throughout. Ceiling fans in the living room and bedroom. Off-street parking available. Great location near Cleveland Clinic and other amenities.",MULTI_FAMILY,1884 E 81st St Apt 4,1884 E 81st St,Apt 4,Cleveland,OH,44103,1,1,,664,1910,22,1000,2024-11-08,27000,10190,68000,False,4286,2,41.506999,-81.632311,Hough,Cuyahoga,39035,2,0,,Cleveland Metropolitan School District,1.2543518730545329,1000.0,18.072289156626507,18.072289156626507
151,https://www.realtor.com/rentals/details/3471-E-114th-St_Cleveland_OH_44104_M45323-11545,4532311545,2974754692,NEOH,5083858,FOR_RENT,"Discover this nicely renovated 3-bedroom, second-floor unit in a multi-family home, combining modern style with comfort. The home features updated flooring, a refreshed kitchen, and contemporary bathroom fixtures, creating a welcoming and functional space. Each bedroom is generously sized, perfect for versatile living. Located close to public transportation and convenient shopping options, this residence is ideal for those seeking accessibility and ease. Section 8 applicants are welcome. Dont miss this opportunity to lease a stylish, move-in-ready space that fits your lifestyle.",MULTI_FAMILY,3471 E 114th St,3471 E 114th St,,Cleveland,OH,44104,3,1,,2620,1920,21,1300,2024-11-09,85000,5250,102400,False,,0,41.46431,-81.603812,Mount Pleasant,Cuyahoga,39035,3,0,,Cleveland Metropolitan School District,2.770022199162301,433.3333333333333,5.9541984732824424,1.984732824427481
153,https://www.realtor.com/rentals/details/1884-E-81st-St-Apt-4_Cleveland_OH_44103_M44488-84472,4448884472,2974735206,NEOH,5083881,FOR_RENT,"Newly remodeled 2 Bedroom, 1 Bath 2nd floor unit in 4-unit building. All newer kitchen, full bath and laminate flooring throughout. Ceiling fans in the living room and bedrooms. Off-street parking available. Great location near Cleveland Clinic and other amenities.",MULTI_FAMILY,1884 E 81st St Apt 3,1884 E 81st St,Apt 3,Cleveland,OH,44103,2,1,,880,1910,22,1000,2024-11-08,27000,10190,68000,False,4286,1,41.506999,-81.632311,Hough,Cuyahoga,39035,2,0,,Cleveland Metropolitan School District,1.2543518730545329,500.0,13.636363636363637,6.818181818181818
155,https://www.realtor.com/rentals/details/1434-W-112th-St-Apt-2_Cleveland_OH_44102_M91901-05426,9190105426,2974721405,NEOH,5083265,FOR_RENT,"Move right into this great 2 bedroom, First floor apartment. This location can't be beat, as it is right down the street from Lakewood! This unit has a wonderful front porch to enjoy! Parking is available in the back and a washer and dryer are located in the basement for your use. Owner pays water & sewer. Schedule your showings today!",APARTMENT,1434 W 112th St Apt 2,1434 W 112th St,Apt 2,Cleveland,OH,44102,2,1,,900,1907,22,1095,2024-11-08,,,,False,5319,1,41.481632,-81.765244,Edgewater,Cuyahoga,39035,2,,,"Cleveland Metropolitan School District, Hope Academy Northwest Campus, Lakewood City Academy, Lake Erie International High School School District",8.287265398175421,547.5,14.6,7.3
159,https://www.realtor.com/rentals/details/1270-W-58th-St-Apt-208_Cleveland_OH_44102_M97072-64030,9707264030,2974653614,NEOH,5083428,FOR_RENT,"This is a FABULOUS studio residence!!! Welcome to Breakwater Lofts, where local charm meets sophistication. These luxe residences are brand new and ready to redefine the way you see upscale living! The properties feature beautiful finishes, private balconies, spacious walk-in closets, floor-to-ceiling windows, in-unit laundry. The building offers an outdoor rooftop lounge, 24-hour fitness center, secure & reserved indoor parking, dry cleaning pickup/ drop off. Away from the fast-moving fads of other parts of town, Breakwater Lofts is comfortably set amidst Gordon Square's eclectic urban neighborhood. Individuals who appreciate living an elevated lifestyle in the center of some of Cleveland's most exciting culinary, visual, and performing arts, and nightlife experiences, can have it all without ever having to get in the car.",APARTMENT,1270 W 58th St Apt 208,1270 W 58th St,Apt 208,Cleveland,OH,44102,0,1,,634,2023,23,1495,2024-11-07,,,,True,,2,41.488523,-81.72674,"Gordon Square Arts District, Detroit - Shoreway",Cuyahoga,39035,1,,,Cleveland Metropolitan School District,6.23585686439848,1495.0,28.29652996845426,28.29652996845426
160,https://www.realtor.com/rentals/details/2181-E-87th-St_Cleveland_OH_44106_M41271-37143,4127137143,2974623893,NEOH,5083057,FOR_RENT,"Great location. Walk to The Cleveland Clinic and very close to Case Western Reseve Univerity, Univerity Circle, Severance Music Center. Little Italy and so much more! Built in 1997 this colonial home has so much to offer such as an open first floor that incluses a living room with a fireplace, formal dining area, a large eat-in kitchen with a half bath. There is a large deck off the kitchen overlooking the private back yard. The second floor offer a large main bedroom with a full bath, ample closets, vaulted ceilings and custom windows to provide plenty of natual light. There are also two more bedrooms and another full bath. The basement offers a finished rec-room and a laundry area. The front and back yard are mostly fenced in with a two car garage.",SINGLE_FAMILY,2181 E 87th St,2181 E 87th St,,Cleveland,OH,44106,3,2,1,2254,1997,24,2500,2024-11-06,35000,15130,102595,False,9901,1,41.498751,-81.625525,Fairfax,Cuyahoga,39035,2,0,2,Cleveland Metropolitan School District,0.9674758381940938,833.3333333333334,13.309671694764862,4.436557231588288
162,https://www.realtor.com/rentals/details/1390-E-109th-St_Cleveland_OH_44106_M44370-48943,4437048943,2974616933,NEOH,5083165,FOR_RENT,"Welcome to this spacious and recently updated four-bedroom, one-bath home thats perfect for families and individuals alike. With an open layout and large windows throughout, this home is filled with beautiful natural light, creating a bright and welcoming atmosphere. Each of the four bedrooms offers generous space and ample closet storage, making it ideal for both comfort and functionality. The recent updates include modern finishes, fresh paint, and new flooring, adding a touch of elegance to every room. This home is Section 8 friendly and close to schools, parks, shopping, and dining options. Dont miss out on this wonderful opportunityschedule a tour today! Rental requirements:Credit score of 600+. 500 - 600 is considered conditional.Less than 3 items in collections, excluding student loan and medical. Monthly income of 2.5 times the amount of the monthly rent.Thorough Eviction Check. $50 Non Refundable App Fee for all Adults who will be occupying the property.Applications can only be completed online.Typical Security Deposit equivalent to one months rent, pending results of background checks. Tenants must have the electric and gas transferred into their name. All tenants must obtain renters insurance prior to receiving keys to the property. location!",MULTI_FAMILY,1390 E 109th St Unit Back,1390 E 109th St,Unit Back,Cleveland,OH,44106,4,1,,2267,1910,24,1425,2024-11-06,253000,7880,269433,False,4678,1,41.519649,-81.61071,Glenville,Cuyahoga,39035,,0,,Cleveland Metropolitan School District,1.0660188727414526,356.25,7.543008381120424,1.885752095280106
163,https://www.realtor.com/rentals/details/3740-E-151st-St_Cleveland_OH_44120_M49577-42694,4957742694,2974610433,NEOH,5083206,FOR_RENT,"Welcome home! Spacious 5-bedroom rental conveniently located between downtown and Shaker Heights! This welcoming home offers generous living spaces, perfect for larger households or shared living. Featuring 1.5 bathrooms, it provides comfortable functionality and plenty of room to relax and entertain. With easy access to both city attractions and Shaker Heights' charm, you'll be close to shopping, dining, and parks. Don't miss this ideal blend of space, location, and convenience. //$1, 800 rent// $1, 800 deposit // $55 application fee per adult // 1-2 pets are allowed in this unit (Cats and small dogs only) // $50 monthly fee & $250 non refundable fee for pets // NO SMOKING // Schedule a viewing today!",MULTI_FAMILY,3740 E 151st St Unit Up,3740 E 151st St,Unit Up,Cleveland,OH,44120,5,1,1,1998,1931,24,1800,2024-11-06,1000000,19710,153900,False,5968,1,41.4577,-81.575922,Mount Pleasant,Cuyahoga,39035,2,0,1,"Cleveland Metropolitan School District, George V. Voinovich Reclamation Academy",3.630869703704803,360.0,10.81081081081081,2.1621621621621623
165,https://www.realtor.com/rentals/details/8014-Whitethorn-Ave_Cleveland_OH_44103_M44260-01778,4426001778,2974597599,NEOH,5083106,FOR_RENT,"Welcome to this inviting 3-bedroom, 1-bathroom up unit that combines comfort, style, and functionality. This spacious unit offers a unique bonus room with French doorsideal for a home office, playroom, or cozy den. Enjoy the enclosed back porch, perfect for relaxation or entertaining. Unit features: Generously sized rooms with natural light and ample closet space. Updated Kitchen: The kitchen boasts sleek white cabinets, a stylish backsplash, and plenty of counter space for meal preparation.Spacious. Living & Dining Areas: Natural hardwood floors and neutral decor offer a warm and welcoming atmosphere. Rental Details: Rent: $1500 per month. Application Fee: $49 per adult. No Pets, No Smoking. Renters Insurance Required. Background and Credit Check Required. Tenant Responsibilities: All utilities (Water/Sewer/Trash, Gas & Electric), lawn care, maintenance, and snow removal. Move-In Requirements: First months rent. Security deposit.1-year lease agreement Location Highlights: Easy access to major highways and public transportation Minutes from downtown, Cleveland Clinic, Case Western Reserve University, University Hospitals, and the Cleveland Museum of Art. Serious inquiries only. We welcome voucher holders to apply. Contact us today to schedule a tour and make this charming home yours!",MULTI_FAMILY,8014 Whitethorn Ave Unit 2,8014 Whitethorn Ave,Unit 2,Cleveland,OH,44103,3,1,,1376,1910,24,1500,2024-11-06,20000,7040,65200,False,5841,1,41.512542,-81.632891,Hough,Cuyahoga,39035,2,0,,Cleveland Metropolitan School District,1.3919943160756982,500.0,13.081395348837209,4.3604651162790695
170,https://www.realtor.com/rentals/details/10304-Shale-Ave-Apt-2_Cleveland_OH_44104_M97727-94483,9772794483,2974565845,AVAL,61221033,FOR_RENT,"Amazing 3 bedroom, 1 bathroom apartment in Cleveland. Amenities included: central heat, updated kitchen, and updated bathroom. Utilities included: water. Is not pet friendly. Date Available: Dec 1st 2024. $1, 100/month rent. $1, 000 security deposit required. Please submit the form on this page or contact Bell Auberge LLC to learn more. This property is managed by a responsible landlord using Avail landlord software.",APARTMENT,10304 Shale Ave Apt 2,10304 Shale Ave,Apt 2,Cleveland,OH,44104,3,1,,1200,,25,1100,2024-11-05,,,,False,,1,41.485165,-81.613281,Woodland Hills,Cuyahoga,39035,,,,"Intergenerational School The, Randall Park High School, Cleveland Arts And Social Sciences Academy, Wings Academy 2, Cleveland Metropolitan School District",1.3446038446835533,366.6666666666667,11.0,3.6666666666666665
172,https://www.realtor.com/rentals/details/19314-Cherokee-Ave-Apt-1_Cleveland_OH_44119_M36539-82843,3653982843,2974570462,NEOH,5082995,FOR_RENT,Very nice 3rd floor efficiency with full kitchen and bath,APARTMENT,19314 Cherokee Ave Apt 3,19314 Cherokee Ave,Apt 3,Cleveland,OH,44119,1,1,,600,1910,25,600,2024-11-05,53000,19610,113300,False,5101,1,41.58567,-81.544178,North Collinwood,Cuyahoga,39035,3,,,"Cleveland Metropolitan School District, Bella Academy Of Excellence, New Day Academy Boarding & Day School, Lakeshore Intergenerational School",6.528461948519712,600.0,12.0,12.0
177,https://www.realtor.com/rentals/details/3741-W-36th-St-1_Cleveland_OH_44109_M96939-32953,9693932953,2974528343,TRBO,1199109,FOR_RENT,"Welcome to this gorgeous West Side property. 2 bedrooms and 1 bathe. First floor unit. Hardwood floors throughout the apartment. Kitchen - newly remodeled with granite countertops. Bath with vanity and good lighting. Landlord pays water, sewer and WiFi. No pets allowed - no exceptions. Off street parking. To apply, visit TurboTenant and search for Property ID 1199109",SINGLE_FAMILY,3741 W 36th St Unit 1,3741 W 36th St,Unit 1,Cleveland,OH,44109,2,1,,1100,,26,1200,2024-11-04,,,,False,,1,41.453083,-81.707588,Brooklyn - Centre,Cuyahoga,39035,,,,"Cleveland Metropolitan School District, Horizon Science Academy-Denison Middle School",6.244408335299041,600.0,13.090909090909092,6.545454545454546
179,https://www.realtor.com/rentals/details/11225-Parkview-Ave_Cleveland_OH_44104_M44755-73705,4475573705,2974528374,TRBO,1202477,FOR_RENT,"2 Bed - 1 Bath Apartment for Rent in Cleveland | Recently Updated! - Rental Terms: We accept Section 8 vouchers Bottom Unit Available - Available: Immediately - 1 Year lease - Monthly Rent = $950 per month - Security Deposit required - Utilities paid by tenant - Pets allowed with a $200 non-refundable fee upfront - Background Check Required - No Evictions This is a beautiful renovated apartment unit for rent features 2 large bedroom, 1 full bathroom, and offers approximately 800 square feet of living space. Floors have been rental polished as well as new windows and two brand new furnaces and a-brand new electric hot water tank! To apply, visit TurboTenant and search for Property ID 1202477",CONDOS,11225 Parkview Ave,11225 Parkview Ave,,Cleveland,OH,44104,2,1,,1008,,26,1000,2024-11-04,80000,9490,95000,False,,1,41.477361,-81.606409,Woodland Hills,Cuyahoga,39035,,,,"Intergenerational School The, Randall Park High School, Wings Academy 1, Wings Academy 2, Cleveland Metropolitan School District",1.8619718837504617,500.0,11.904761904761905,5.9523809523809526
181,https://www.realtor.com/rentals/details/1740-Hartshorn-Rd-Apt-4_Cleveland_OH_44112_M91671-53528,9167153528,2974528614,TRBO,1647776,FOR_RENT,"Welcome to your new apartment! This apartment features 1 bedroom, 1 bathe. Landlord pays, water, sewer and heat and WiFi. Off street parking with secure building. Coin Operated washer and dryer are in the basement. $1000 security deposit is required - no exceptions To apply, visit TurboTenant and search for Property ID 1647776",CONDOS,1740 Hartshorn Rd Apt 4,1740 Hartshorn Rd,Apt 4,East Cleveland,OH,44112,1,1,,975,,26,1000,2024-11-04,,,,False,,1,41.526428,-81.587494,,Cuyahoga,39035,,,,"Old Brook High School School District, Apex Academy, Citizens Academy East School District, Randall Park High School, East Cleveland City School District, Citizens Leadership Academy East",1.8729452425665616,1000.0,12.307692307692308,12.307692307692308
